Timestamp,Temperature (C),Humidity (%),Fan On,Humidifier On
2025-02-01 23:56:22,25.7,49.8,False,False
2025-02-01 23:56:27,25.8,51.5,False,False
2025-02-01 23:56:32,25.8,53.0,False,False
2025-02-01 23:56:37,25.9,54.3,False,False
2025-02-01 23:56:43,26.0,55.5,False,False
2025-02-02 00:01:58,25.3,37.6,False,False
2025-02-02 00:02:03,25.2,37.5,False,False
2025-02-02 00:02:08,25.2,37.5,False,False
2025-02-02 00:02:14,25.3,37.7,False,False
2025-02-02 00:02:19,25.3,37.6,False,False
2025-02-02 00:02:24,25.3,37.8,False,False
2025-02-02 00:02:29,25.4,39.6,False,False
2025-02-02 00:02:35,25.4,41.3,False,False
2025-02-02 00:02:40,25.5,44.0,False,False
2025-02-02 00:02:45,25.5,47.2,False,False
2025-02-02 00:02:51,25.6,49.4,False,False
2025-02-02 00:02:56,25.7,51.2,False,False
2025-02-02 00:03:01,25.7,52.3,False,False
2025-02-02 00:03:06,25.8,52.3,False,False
2025-02-02 00:03:12,25.9,53.0,False,False
2025-02-02 00:03:17,26.0,53.9,False,False
2025-02-02 00:05:43,25.9,36.2,False,False
2025-02-02 00:05:55,25.8,36.3,False,False
2025-02-02 00:06:00,25.8,36.4,False,False
2025-02-02 00:06:06,25.9,36.5,False,False
2025-02-02 00:06:11,25.9,37.7,False,False
2025-02-02 00:06:16,25.9,39.8,False,False
2025-02-02 00:06:21,26.0,40.9,False,False
2025-02-02 00:06:27,26.0,43.5,False,False
2025-02-02 00:08:48,25.7,36.2,False,False
2025-02-02 00:08:53,25.7,36.3,False,False
2025-02-02 00:08:59,25.7,36.4,False,False
2025-02-02 00:09:04,25.7,36.6,False,False
2025-02-02 00:09:09,25.7,36.7,False,False
2025-02-02 00:09:14,25.7,37.0,False,False
2025-02-02 00:09:20,25.8,38.4,False,False
2025-02-02 00:09:25,25.8,40.2,False,False
2025-02-02 00:09:30,25.9,43.3,False,False
2025-02-02 00:09:35,25.9,46.2,False,False
2025-02-02 00:09:41,26.0,48.2,False,False
2025-02-02 00:09:46,26.0,50.1,False,False
2025-02-02 00:12:27,25.7,36.2,False,False
2025-02-02 00:12:33,25.7,36.3,False,False
2025-02-02 00:12:38,25.7,36.3,False,False
2025-02-02 00:12:43,25.7,36.4,False,False
2025-02-02 00:12:49,25.7,36.6,False,False
2025-02-02 00:12:54,25.7,37.0,False,False
2025-02-02 00:12:59,25.8,38.4,False,False
2025-02-02 00:13:04,25.8,41.3,False,False
2025-02-02 00:13:10,25.8,44.4,False,False
2025-02-02 00:13:15,25.9,46.8,False,False
2025-02-02 00:13:20,25.9,48.2,False,False
2025-02-02 00:13:25,26.0,50.1,False,False
2025-02-02 00:16:00,25.8,36.2,False,False
2025-02-02 00:16:05,25.7,36.3,False,False
2025-02-02 00:16:11,25.7,36.2,False,False
2025-02-02 00:16:16,25.7,36.2,False,False
2025-02-02 00:16:29,25.8,36.8,False,False
2025-02-02 00:16:34,25.8,39.4,False,False
2025-02-02 00:16:39,25.9,41.9,False,False
2025-02-02 00:16:44,25.9,44.4,False,False
2025-02-02 00:16:50,26.0,47.4,False,False
2025-02-02 00:16:55,26.0,49.5,False,False
2025-02-02 00:21:38,25.4,36.6,False,False
2025-02-02 00:21:44,25.4,36.7,False,False
2025-02-02 00:21:49,25.4,36.8,False,False
2025-02-02 00:21:54,25.4,36.8,False,False
2025-02-02 00:21:59,25.4,36.8,False,False
2025-02-02 00:22:05,25.4,37.4,False,False
2025-02-02 00:22:10,25.5,39.0,False,False
2025-02-02 00:22:15,25.5,41.9,False,False
2025-02-02 00:22:21,25.6,44.8,False,False
2025-02-02 00:22:33,25.7,49.3,False,False
2025-02-02 00:22:38,25.8,51.4,False,False
2025-02-02 00:22:44,25.9,52.6,False,False
2025-02-02 00:22:49,26.0,53.5,False,False
2025-02-02 00:22:54,26.0,54.4,False,False
2025-02-02 00:28:45,25.3,37.0,False,False
2025-02-02 00:28:51,25.3,37.1,False,False
2025-02-02 00:28:56,25.3,37.0,False,False
2025-02-02 00:29:01,25.3,37.0,False,False
2025-02-02 00:29:06,25.3,37.0,False,False
2025-02-02 00:29:12,25.4,37.5,False,False
